"season","mnth","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt"
4,12,0,0,2,0.3475,0.359208,0.823333,0.124379,4649
3,8,2,1,1,0.639167,0.594704,0.548333,0.125008,5204
2,6,4,1,1,0.715,0.643942,0.305,0.292287,4968
2,4,2,1,1,0.608333,0.598487,0.390417,0.273629,6691
2,6,6,0,1,0.696667,0.643954,0.670417,0.119408,5119
1,3,4,1,3,0.389091,0.385668,0,0.261877,623
1,12,5,1,1,0.373333,0.377513,0.68625,0.274246,2209
2,3,0,0,2,0.4375,0.437488,0.880833,0.220775,4996
3,7,2,1,2,0.720833,0.664796,0.6675,0.151737,6290
3,8,1,1,2,0.635833,0.595967,0.734167,0.129979,6530
4,12,0,0,2,0.384167,0.390146,0.905417,0.157975,3228
1,2,5,1,2,0.4075,0.410971,0.7375,0.237567,3487
2,4,3,1,1,0.390833,0.387608,0.470833,0.263063,2808
1,12,1,0,1,0.321739,0.315535,0.506957,0.239465,1317
2,5,6,0,1,0.564167,0.544817,0.480417,0.123133,7429
2,5,3,1,1,0.636667,0.595975,0.697917,0.122512,7424
1,2,6,0,1,0.2825,0.282192,0.537917,0.186571,1969
2,6,5,1,1,0.649167,0.600383,0.735833,0.143029,4844
4,12,5,1,2,0.375,0.359825,0.500417,0.260575,3577
4,10,0,0,2,0.356667,0.345317,0.791667,0.222013,2918
4,10,0,0,1,0.540833,0.523983,0.7275,0.06345,5511
3,6,5,1,1,0.834167,0.786613,0.48875,0.165417,5463
2,6,5,1,1,0.639167,0.599754,0.589583,0.176617,7665
2,4,3,1,2,0.463333,0.457038,0.569167,0.167912,4367
3,6,2,1,2,0.680833,0.637646,0.770417,0.171025,4835
3,9,3,1,1,0.5525,0.540404,0.536667,0.215175,7591
2,3,1,1,2,0.430435,0.409735,0.737391,0.288783,2077
2,6,1,1,2,0.568333,0.544842,0.777917,0.174746,5099
1,12,4,1,1,0.248333,0.263892,0.574167,0.119412,2423
4,9,4,1,1,0.616667,0.574512,0.699167,0.172883,4839
4,11,0,0,1,0.245833,0.257583,0.468333,0.1505,2424
2,4,2,1,1,0.631667,0.594083,0.729167,0.3265,4400
1,3,2,1,1,0.258333,0.255042,0.456667,0.200875,3956
2,4,6,0,1,0.4725,0.464021,0.503333,0.235075,5312
3,8,4,1,1,0.7175,0.651521,0.42375,0.164796,4792
2,5,1,1,2,0.5375,0.527142,0.664167,0.230721,6273
3,6,1,1,2,0.6825,0.637004,0.658333,0.107588,4708
4,11,2,1,2,0.458333,0.451375,0.830833,0.258092,2914
2,5,0,0,1,0.6125,0.585238,0.57625,0.225117,6118
2,4,2,1,2,0.5025,0.493054,0.739167,0.274879,2034
2,6,1,1,1,0.5975,0.578283,0.487083,0.284833,6998
1,2,6,0,1,0.399167,0.391404,0.187917,0.507463,1635
4,10,1,1,2,0.384167,0.392046,0.760833,0.0833458,3570
1,3,0,0,2,0.4725,0.464,0.81,0.126883,5892
2,5,3,1,2,0.414167,0.40465,0.737083,0.328996,2633
